station_id,station_name,lat,lon
7000,Fort York  Blvd / Capreol Ct,43.6836,-79.363
7001,Wellesley Station Green P,43.6098,-79.355
7002,St. George St / Bloor St W,43.6145,-79.3593
7003,Madison Ave / Bloor St W,43.6451,-79.3788
7005,King St W / York St,43.6799,-79.4065
7006,Bay St / College St (East Side),43.6564,-79.3601
7007,College St / Huron St,43.6995,-79.4274
7008,Wellesley St W / Queen's Park Cres,43.6569,-79.3534
7009,King St E / Jarvis St,43.6729,-79.3637
7010,King St W / Spadina Ave,43.6451,-79.4202
7012,Elizabeth St / Edward St (Bus Terminal),43.6931,-79.3661
7013,Scott St / The Esplanade,43.6978,-79.42
7014,Sherbourne St / Carlton St (Allan Gardens),43.6467,-79.3924
7015,King St W / Bay St (West Side),43.6512,-79.3954
7016,Bay St / Queens Quay W (Ferry Terminal),43.6896,-79.3737
7017,Widmer St / Adelaide St W - SMART,43.7024,-79.428
7018,Bremner Blvd / Rees St,43.635,-79.373
7019,Temperance St Station,43.6724,-79.4254
7020,Phoebe St / Spadina Ave,43.6159,-79.427
7021,Bay St / Albert St,43.6301,-79.3355
7022,Simcoe St / Queen St W,43.6388,-79.3465
7023,College St / Borden St,43.6163,-79.3695
7024,Dundonald St / Church St,43.6326,-79.3854
7025,Ted Rogers Way / Bloor St E,43.6814,-79.3767
7026,Bay St / St. Joseph St,43.6571,-79.419
7027,Beverley St / Dundas St W,43.6745,-79.374
7028,Gould St / Mutual St,43.654,-79.3547
7029,Bay St / Bloor St W (East Side),43.6161,-79.3836
7030,Bay St / Wellesley St W,43.7014,-79.413
7031,Jarvis St / Isabella St,43.7013,-79.3503
7032,Augusta Ave / Dundas St W,43.66,-79.3441
7033,Union Station,43.642,-79.4115
7034,Church St / Bloor St E,43.6484,-79.4059
7035,Queen St W / Ossington Ave,43.6188,-79.4321
7036,Trinity St /Front St E,43.7025,-79.4265
7037,Bathurst St / Dundas St W,43.6367,-79.378
7038,Dundas St W / Yonge St,43.6338,-79.4258
7039,Simcoe St / Michael Sweet Ave,43.6358,-79.3826
7040,Euclid Ave / Bloor St W,43.6063,-79.37
7041,Edward St / Yonge St,43.6451,-79.4003
7042,Sherbourne St / Wellesley St E,43.6342,-79.414
